titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
48 HEURES PAR JOUR;CATHERINE CASTEL;2007-07-30;2007-07-30;EXTERIEUR;AVENUE;MOTTE PICQUET/R BOUGANVILLE (ANGLE);75007;AVENUE MOTTE PICQUET/R BOUGANVILLE (ANGLE) 75007 Paris France;
48 HEURES PAR JOUR;CATHERINE CASTEL;2007-11-06;2007-11-06;EXTERIEUR;IMPASSE;GUEMENEE;75004;IMPASSE GUEMENEE 75004 Paris France;
48 HEURES PAR JOUR;CATHERINE CASTEL;2007-06-27;2007-06-27;EXTERIEUR;RUE;DE CHAZELLES;75017;RUE DE CHAZELLES 75017 Paris France;
48 HEURES PAR JOUR;CATHERINE CASTEL;2007-07-23;2007-07-23;EXTERIEUR;RUE;MARGUERIN;75014;RUE MARGUERIN 75014 Paris France;
DES POUPEES ET DES ANGES;NORA HAMDI;2007-06-22;2007-06-22;EXTERIEUR;RUE;DES ARQUEBUSIERS;75003;RUE DES ARQUEBUSIERS 75003 Paris France;48.85962, 2.366652
DES POUPEES ET DES ANGES;NORA HAMDI;2007-06-21;2007-06-22;EXTERIEUR;TERRE-PLEIN;PLACE DE LA BASTILLE;75004;TERRE-PLEIN PLACE DE LA BASTILLE 75004 Paris France;
CA SE SOIGNE;LAURENT CHOUCHAN;2007-11-07;2007-11-07;EXTERIEUR;RUE;FRANCOIS 1er;75008;RUE FRANCOIS 1er 75008 Paris France;
L'ELU DU DESTIN;ROMAN BALAIAN;2007-07-06;2007-07-06;EXTERIEUR;RUE;DE LA BONNE ET ESCALIER;75018;RUE DE LA BONNE ET ESCALIER 75018 Paris France;
L'ELU DU DESTIN;ROMAN BALAIAN;2007-05-06;2007-05-06;EXTERIEUR;RUE;MAURICE UTRILLO;75018;RUE MAURICE UTRILLO 75018 Paris France;48.886248, 2.344504
SAGAN;DIANE KURYS;2007-07-30;2007-07-30;EXTERIEUR;BOULEVARD;DU MONTPARNASSE;75006;BOULEVARD DU MONTPARNASSE 75006 Paris France;
SAGAN;DIANE KURYS;2007-04-07;2007-04-07;EXTERIEUR;PLACE;DE FURSTEMBERG;75006;PLACE DE FURSTEMBERG 75006 Paris France;
SAGAN;DIANE KURYS;2007-05-07;2007-05-07;EXTERIEUR;RUE;DE COMMAILLES;75007;RUE DE COMMAILLES 75007 Paris France;
CASH;ERIC BESNARD;2007-03-07;2007-03-07;EXTERIEUR;PASSERELLE;DES RECOLLETS;75010;PASSERELLE DES RECOLLETS 75010 Paris France;
CASH;ERIC BESNARD;2007-04-07;2007-04-07;EXTERIEUR;PONT;EUGENE VARLIN;75010;PONT EUGENE VARLIN 75010 Paris France;
CASH;ERIC BESNARD;2007-05-07;2007-05-07;EXTERIEUR;QUAI;DE LA RAPEE;75012;QUAI DE LA RAPEE 75012 Paris France;
CASH;ERIC BESNARD;2007-11-06;2007-11-06;EXTERIEUR;RUE;LA FEUILLADE;75001;RUE LA FEUILLADE 75001 Paris France;
CASH;ERIC BESNARD;2007-06-13;2007-06-13;EXTERIEUR;RUE;DU 4 SEPTEMBRE;75002;RUE DU 4 SEPTEMBRE 75002 Paris France;
GO FAST;O.VAN HOOFSTADT;2007-07-16;2007-07-17;EXTERIEUR;PORT;PORT;75019;PORT PORT 75019 Paris France;
LA VIE EN ROUGE;ANDRES LINARES;2007-12-06;2007-12-06;DOMAINE PUBLIC;JARDIN;CAVELIER DE LA SALLE;75006;JARDIN CAVELIER DE LA SALLE 75006 Paris France;
LES DERNIERS JOURS DU MONDE;JEAN MARIE LARRIEU;2008-11-09;2008-11-09;EXTERIEUR;RUE;BELZUNCE;75010;RUE BELZUNCE 75010 Paris France;
LES DERNIERS JOURS DU MONDE;JEAN MARIE LARRIEU;2008-11-09;2008-11-09;EXTERIEUR;RUE;BELLEFOND;75009;RUE BELLEFOND 75009 Paris France;48.87787, 2.346925
LES DERNIERS JOURS DU MONDE;JEAN MARIE LARRIEU;2008-11-09;2008-11-09;EXTERIEUR;RUE;DU FAUBOURG SAINT MARTIN;75010;RUE DU FAUBOURG SAINT MARTIN 75010 Paris France;48.876831, 2.360984
LE DERNIER POUR LA ROUTE;PHILIPPE GODEAU;2008-09-15;2008-09-15;EXTERIEUR;RUE;DE PHALSBOURG;75017;RUE DE PHALSBOURG 75017 Paris France;
